                                      	Total        	Entrants      	Trying       	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	UserUt       	SocWel       	PrvWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	1.428         	0.6667       	0.08526       	--           	0.07905      	--           	0.002666     	1            	0.08358      	0.3253       	0.1617       	0.1943       	0.1949         	--             	--            
FirstTries                            	4661         	1.429         	1.354        	0.1358        	0.07374      	0.161        	--           	0.00572      	1.028        	0.1707       	0.6633       	0.3297       	0.4169       	0.1949         	--             	--            
SomeoneTries                          	5018         	1.47          	1.329        	0.1355        	0.07431      	0.1575       	--           	0.005313     	1.026        	0.1666       	0.6482       	0.3223       	0.3872       	0.1949         	--             	--            
NooneTries                            	4982         	1.385         	0            	0.03463       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.1949         	0              	0             
InventionOccurs                       	2515         	1.469         	1.355        	0.1366        	0.07352      	0.3143       	--           	0.0106       	1.144        	0.3323       	1.293        	0.6431       	0.7726       	0.1949         	--             	--            
InadvertentInfringement               	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReached                      	2425         	1.473         	1.356        	0.1363        	0.07309      	0.315        	--           	0            	1.147        	0.3375       	1.305        	0.6524       	0.7699       	0.1949         	--             	--            
IntentionalInfringement               	90           	1.344         	1.344        	0.1461        	0.08487      	0.2962       	0.2962       	0.2962       	1.052        	0.1937       	0.9798       	0.3899       	0.8444       	0.1949         	0.4578         	0.5496        
InventionUsed                         	2515         	1.469         	1.355        	0.1366        	0.07352      	0.3143       	--           	0.0106       	1.144        	0.3323       	1.293        	0.6431       	0.7726       	0.1949         	--             	--            
AllHighValue                          	2025         	1.446         	1.116        	0.1468        	--           	0.1772       	--           	0            	1.034        	0.1999       	0.7542       	0.3771       	0.3175       	0.1949         	--             	--            
FirstTriesHighValue                   	1561         	1.448         	1.392        	0.1733        	0.09826      	0.2213       	--           	0            	1.05         	0.2507       	0.9439       	0.472        	0.4119       	0.1949         	--             	--            
SomeoneTriesHighValue                 	1648         	1.478         	1.371        	0.1729        	0.09916      	0.2177       	--           	0            	1.047        	0.2456       	0.9267       	0.4633       	0.3902       	0.1949         	--             	--            
NooneTriesHighValue                   	377          	1.31          	0            	0.03276       	--           	0            	--           	0            	0.975        	0            	0            	0            	0            	0.1949         	0              	0             
InventionOccursHighValue              	848          	1.481         	1.408        	0.1749        	0.09784      	0.4232       	--           	0            	1.202        	0.4773       	1.801        	0.9005       	0.7583       	0.1949         	--             	--            
InadvertentHighValue                  	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
AgreementReachedHighValue             	848          	1.481         	1.408        	0.1749        	0.09784      	0.4232       	--           	0            	1.202        	0.4773       	1.801        	0.9005       	0.7583       	0.1949         	--             	--            
IntentionalInfringementHighValue      	0            	--            	--           	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	848          	1.481         	1.408        	0.1749        	0.09784      	0.4232       	--           	0            	1.202        	0.4773       	1.801        	0.9005       	0.7583       	0.1949         	--             	--            
