                                      	Total        	SocWel1      	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	AmtPaid      	HypoDam      	DamPaid      	InvUt        	InvDel       	UserUt       	PrvWel       	SocWel       	FIW          	FFirstWin      	PFirstWin      	PSomeWin      
All                                   	10000        	-0.3137      	1             	0.61         	4.13            	0.4415        	--           	0.4881       	1.072        	0.4881       	1.001        	0.001037     	-0.3147      	-0.3137      	-0.3137      	0.4554       	0.4569         	--             	--            
FirstTries                            	6100         	-0.4983      	1             	1            	6.771           	0.7079        	0.6829       	0.8002       	1.072        	0.8002       	1.018        	0.01768      	-0.5159      	-0.4983      	-0.4983      	0.7466       	0.4569         	0.7392         	0.7392        
SomeoneTries                          	6100         	-0.4983      	1             	1            	6.771           	0.7079        	0.6829       	0.8002       	1.072        	0.8002       	1.018        	0.01768      	-0.5159      	-0.4983      	-0.4983      	0.7466       	0.4569         	0.7392         	0.7392        
NooneTries                            	3900         	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.4569         	--             	--            
InventionOccurs                       	4554         	-0.4289      	1             	1            	6.784           	0.7097        	0.6847       	1.072        	1.072        	1.072        	1.262        	0.2622       	-0.6911      	-0.4289      	-0.4289      	1            	0.4569         	0.7399         	0.7399        
InadvertentInfringement               	4554         	-0.4289      	1             	1            	6.784           	0.7097        	0.6847       	1.072        	1.072        	1.072        	1.262        	0.2622       	-0.6911      	-0.4289      	-0.4289      	1            	0.4569         	0.7399         	0.7399        
AgreementReached                      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringement               	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsed                         	4554         	-0.4289      	1             	1            	6.784           	0.7097        	0.6847       	1.072        	1.072        	1.072        	1.262        	0.2622       	-0.6911      	-0.4289      	-0.4289      	1            	0.4569         	0.7399         	0.7399        
AllHighValue                          	1995         	-0.1251      	1             	0.5243       	3.609           	0.4018        	--           	0.4365       	1.098        	0.4365       	0.9949       	-0.005065    	-0.12        	-0.1251      	-0.1251      	0.3975       	0.4569         	--             	--            
FirstTriesHighValue                   	1046         	-0.2159      	1             	1            	6.883           	0.7437        	0.7187       	0.8325       	1.098        	0.8325       	1.013        	0.01302      	-0.2289      	-0.2159      	-0.2159      	0.7581       	0.4569         	0.7452         	0.7452        
SomeoneTriesHighValue                 	1046         	-0.2159      	1             	1            	6.883           	0.7437        	0.7187       	0.8325       	1.098        	0.8325       	1.013        	0.01302      	-0.2289      	-0.2159      	-0.2159      	0.7581       	0.4569         	0.7452         	0.7452        
NooneTriesHighValue                   	949          	-0.025       	1             	0            	0               	0.025         	--           	0            	--           	0            	0.975        	-0.025       	0            	-0.025       	-0.025       	0            	0.4569         	--             	--            
InventionOccursHighValue              	793          	-0.0355      	1             	1            	6.892           	0.7317        	0.7067       	1.098        	1.098        	1.098        	1.266        	0.2664       	-0.3019      	-0.0355      	-0.0355      	1            	0.4569         	0.7457         	0.7457        
InadvertentHighValue                  	793          	-0.0355      	1             	1            	6.892           	0.7317        	0.7067       	1.098        	1.098        	1.098        	1.266        	0.2664       	-0.3019      	-0.0355      	-0.0355      	1            	0.4569         	0.7457         	0.7457        
AgreementReachedHighValue             	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
IntentionalInfringementHighValue      	0            	--           	--            	--           	--              	--            	--           	--           	--           	--           	--           	--           	--           	--           	--           	--           	--             	--             	--            
InventionUsedHighValue                	793          	-0.0355      	1             	1            	6.892           	0.7317        	0.7067       	1.098        	1.098        	1.098        	1.266        	0.2664       	-0.3019      	-0.0355      	-0.0355      	1            	0.4569         	0.7457         	0.7457        
