                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	2.059         	0.4691       	1.73            	0.02997       	--           	0.1932       	0.1812       	0.1903       	0.1844         	0.004597     	0             	0.447        	0.1919       	0.185        	0.03112      	0.001145      	1.001          	0.04967      	0.05082      	0.2317       
FirstTries                       	2281         	2.061         	1.747        	7.587           	0.1047        	0.06377      	0.1864       	0.1773       	0.1857       	0.6566         	0.0135       	0             	0.4507       	0.1852       	0.1793       	0.1062       	0.001434      	1.003          	0.1831       	0.1846       	0.8257       
SomeoneTries                     	2966         	2.068         	1.582        	5.834           	0.101         	0.06898      	0.1932       	0.1812       	0.1903       	0.6219         	0.0155       	0             	0.447        	0.1919       	0.185        	0.1049       	0.00386       	1.003          	0.1675       	0.1713       	0.7813       
NooneTries                       	7034         	2.055         	0            	0               	0             	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	0             	1              	0            	0            	0            
InventionOccurs                  	2578         	2.073         	1.637        	6.025           	0.1032        	0.06786      	0.1932       	0.1812       	0.1903       	0.7155         	0.01783      	0             	0.447        	0.1919       	0.185        	0.1207       	0.01745       	1.009          	0.1927       	0.2101       	0.9118       
SomeUsersPay                     	2489         	2.071         	1.648        	6.058           	0.1024        	0.06675      	0.1894       	0.1819       	0.1908       	0.741          	0            	0             	0.4479       	0.1894       	0.1894       	0.1239       	0.02153       	1.011          	0.1966       	0.2181       	0.9245       
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	2555         	2.072         	1.64         	6.035           	0.1035        	0.06787      	0.1931       	0.1823       	0.1913       	0.7219         	0.01333      	0             	0.4486       	0.1922       	0.187        	0.122        	0.01853       	1.01           	0.1938       	0.2123       	0.917        
MainInventorLoses                	1064         	2.079         	1.871        	7.591           	0.1084        	0.06075      	0.183        	0.1709       	0.1782       	0.5567         	0.02846      	0             	0.4526       	0.18         	0.1657       	0.08615      	-0.02222      	0.9413         	0.165        	0.1428       	0.7049       
AllHighValue                     	2005         	2.052         	0.9561       	3.518           	0.07789       	--           	0.262        	0.258        	0.2755       	0.3545         	0.001169     	0             	0.5819       	0.2616       	0.2606       	0.08278      	0.00489       	1.004          	0.1191       	0.1239       	0.5764       
InventionOccursHighValue         	1006         	2.064         	1.726        	6.352           	0.1389        	0.08725      	0.262        	0.258        	0.2755       	0.7065         	0.002329     	0             	0.5819       	0.2616       	0.2606       	0.165        	0.02614       	1.016          	0.2373       	0.2634       	1.165        
