                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1             	0.6789       	3.933           	0.06456       	--           	0.1768       	0.1589       	0.1639       	0.4708         	0.01081      	0             	0.415        	0.1762       	0.1696       	0.07738      	0.01282       	1.013          	0.1189       	0.1317       	0.1317       
FirstTries                       	6789         	1             	1            	5.793           	0.09509       	0.09509      	0.1768       	0.1589       	0.1639       	0.6934         	0.01592      	0             	0.415        	0.1762       	0.1696       	0.114        	0.01889       	1.019          	0.1752       	0.194        	0.194        
SomeoneTries                     	6789         	1             	1            	5.793           	0.09509       	0.09509      	0.1768       	0.1589       	0.1639       	0.6934         	0.01592      	0             	0.415        	0.1762       	0.1696       	0.114        	0.01889       	1.019          	0.1752       	0.194        	0.194        
NooneTries                       	3211         	1             	0            	0               	0             	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	0             	1              	0            	0            	0            
InventionOccurs                  	6637         	1             	1            	5.827           	0.09507       	0.09507      	0.1768       	0.1589       	0.1639       	0.7093         	0.01629      	0             	0.415        	0.1762       	0.1696       	0.1166       	0.02152       	1.022          	0.1792       	0.2007       	0.2007       
SomeUsersPay                     	6416         	1             	1            	5.907           	0.09468       	0.09468      	0.175        	0.1606       	0.1659       	0.7337         	0            	0             	0.4186       	0.175        	0.175        	0.1203       	0.02559       	1.026          	0.1834       	0.209        	0.209        
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	6522         	1             	1            	5.872           	0.09522       	0.09522      	0.1768       	0.1608       	0.1658       	0.7218         	0.008639     	0             	0.4183       	0.1767       	0.1735       	0.119        	0.02377       	1.024          	0.1815       	0.2052       	0.2052       
MainInventorLoses                	561          	1             	1            	3.976           	0.09002       	0.09002      	0.1594       	0.08873      	0.08426      	0.2287         	0.1927       	0             	0.2533       	0.1504       	0.0423       	0.02057      	-0.06945      	0.9305         	0.04902      	-0.02043     	-0.02043     
AllHighValue                     	2102         	1             	0.999        	6.751           	0.1241        	--           	0.2347       	0.2307       	0.2276       	0.7257         	0.0002761    	0             	0.5673       	0.2348       	0.2347       	0.1589       	0.03478       	1.035          	0.2474       	0.2822       	0.2822       
InventionOccursHighValue         	2066         	1             	1            	6.776           	0.1242        	0.1242       	0.2347       	0.2307       	0.2276       	0.7383         	0.0002809    	0             	0.5673       	0.2348       	0.2347       	0.1616       	0.0375        	1.037          	0.2517       	0.2892       	0.2892       
