                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	3.914         	0.9252       	0.2549          	0.023         	--           	0.1414       	0.137        	0.1414       	0.2004         	0            	0             	0.4266       	0.1414       	0.1414       	0.02485      	0.001857      	1.001          	0.05859      	0.06045      	0.06045      
FirstTries                       	2378         	3.916         	2.581        	1.072           	0.06064       	0.02494      	0.1315       	0.1278       	0.1315       	0.5445         	0            	0             	0.4326       	0.1315       	0.1315       	0.06275      	0.002113      	1.004          	0.1679       	0.1701       	0.1701       
SomeoneTries                     	4342         	3.924         	2.131        	0.587           	0.05296       	0.02658      	0.1414       	0.137        	0.1414       	0.4615         	0            	0             	0.4266       	0.1414       	0.1414       	0.05724      	0.004277      	1.002          	0.1349       	0.1392       	0.1392       
NooneTries                       	5658         	3.908         	0            	0               	0             	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	0             	1              	0            	0            	0            
InventionOccurs                  	2490         	3.933         	2.441        	0.6775          	0.05776       	0.02516      	0.1414       	0.137        	0.1414       	0.8047         	0            	0             	0.4266       	0.1414       	0.1414       	0.09981      	0.04205       	1.013          	0.2353       	0.2773       	0.2773       
SomeUsersPay                     	2490         	3.933         	2.441        	0.6775          	0.05776       	0.02516      	0.1414       	0.137        	0.1414       	0.8047         	0            	0             	0.4266       	0.1414       	0.1414       	0.09981      	0.04205       	1.013          	0.2353       	0.2773       	0.2773       
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	2490         	3.933         	2.441        	0.6775          	0.05776       	0.02516      	0.1414       	0.137        	0.1414       	0.8047         	0            	0             	0.4266       	0.1414       	0.1414       	0.09981      	0.04205       	1.013          	0.2353       	0.2773       	0.2773       
MainInventorLoses                	1704         	3.918         	2.636        	1.072           	0.06104       	0.02453      	0.1208       	0.1183       	0.1208       	0.4434         	0            	0             	0.4335       	0.1208       	0.1208       	0.04689      	-0.01415      	0.9756         	0.1417       	0.1276       	0.1276       
AllHighValue                     	2045         	3.92          	1.854        	0.51            	0.05537       	--           	0.1793       	0.174        	0.1793       	0.3868         	0            	0             	0.5409       	0.1793       	0.1793       	0.05979      	0.004424      	1.003          	0.1448       	0.1492       	0.1492       
InventionOccursHighValue         	988          	3.932         	2.64         	0.7356          	0.07365       	0.0301       	0.1793       	0.174        	0.1793       	0.8005         	0            	0             	0.5409       	0.1793       	0.1793       	0.1238       	0.05011       	1.016          	0.2998       	0.3499       	0.3499       
