                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1             	0.1974       	0.2658          	0.005946      	--           	0.1468       	0.1428       	0.1468       	0.06521        	0            	0             	0.4354       	0.1468       	0.1468       	0.008403     	0.002457      	1.002          	0.01915      	0.0216       	0.0216       
FirstTries                       	1974         	1             	1            	1.346           	0.03012       	0.03012      	0.1468       	0.1428       	0.1468       	0.3304         	0            	0             	0.4354       	0.1468       	0.1468       	0.04257      	0.01245       	1.012          	0.09699      	0.1094       	0.1094       
SomeoneTries                     	1974         	1             	1            	1.346           	0.03012       	0.03012      	0.1468       	0.1428       	0.1468       	0.3304         	0            	0             	0.4354       	0.1468       	0.1468       	0.04257      	0.01245       	1.012          	0.09699      	0.1094       	0.1094       
NooneTries                       	8026         	1             	0            	0               	0             	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	0             	1              	0            	0            	0            
InventionOccurs                  	809          	1             	1            	1.354           	0.03038       	0.03038      	0.1468       	0.1428       	0.1468       	0.8061         	0            	0             	0.4354       	0.1468       	0.1468       	0.1039       	0.07349       	1.073          	0.2367       	0.3102       	0.3102       
SomeUsersPay                     	809          	1             	1            	1.354           	0.03038       	0.03038      	0.1468       	0.1428       	0.1468       	0.8061         	0            	0             	0.4354       	0.1468       	0.1468       	0.1039       	0.07349       	1.073          	0.2367       	0.3102       	0.3102       
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	809          	1             	1            	1.354           	0.03038       	0.03038      	0.1468       	0.1428       	0.1468       	0.8061         	0            	0             	0.4354       	0.1468       	0.1468       	0.1039       	0.07349       	1.073          	0.2367       	0.3102       	0.3102       
MainInventorLoses                	1165         	1             	1            	1.341           	0.02994       	0.02994      	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.02994      	0.9701         	0            	-0.02994     	-0.02994     
AllHighValue                     	1945         	1             	0.4355       	0.5833          	0.0178        	--           	0.2014       	0.1991       	0.2014       	0.1395         	0            	0             	0.5564       	0.2014       	0.2014       	0.02502      	0.007225      	1.007          	0.051        	0.05823      	0.05823      
InventionOccursHighValue         	348          	1             	1            	1.34            	0.04106       	0.04106      	0.2014       	0.1991       	0.2014       	0.7795         	0            	0             	0.5564       	0.2014       	0.2014       	0.1398       	0.09879       	1.099          	0.2851       	0.3839       	0.3839       
