                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1             	0.2084       	0.9615          	0.01285       	--           	0.1801       	0.167        	0.1713       	0.09601        	0.00201      	0             	0.4617       	0.1795       	0.1734       	0.01547      	0.002619      	1.003          	0.0285       	0.03112      	0.03112      
FirstTries                       	2084         	1             	1            	4.614           	0.06164       	0.06164      	0.1801       	0.167        	0.1713       	0.4607         	0.009646     	0             	0.4617       	0.1795       	0.1734       	0.07421      	0.01257       	1.013          	0.1368       	0.1493       	0.1493       
SomeoneTries                     	2084         	1             	1            	4.614           	0.06164       	0.06164      	0.1801       	0.167        	0.1713       	0.4607         	0.009646     	0             	0.4617       	0.1795       	0.1734       	0.07421      	0.01257       	1.013          	0.1368       	0.1493       	0.1493       
NooneTries                       	7916         	1             	0            	0               	0             	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	0             	1              	0            	0            	0            
InventionOccurs                  	1291         	1             	1            	5.118           	0.05953       	0.05953      	0.1801       	0.167        	0.1713       	0.7437         	0.01557      	0             	0.4617       	0.1795       	0.1734       	0.1198       	0.06027       	1.06           	0.2208       	0.2811       	0.2811       
SomeUsersPay                     	1252         	1             	1            	5.187           	0.05927       	0.05927      	0.1772       	0.1674       	0.1719       	0.7669         	0            	0             	0.4639       	0.1772       	0.1772       	0.1226       	0.06336       	1.063          	0.2254       	0.2887       	0.2887       
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	1282         	1             	1            	5.131           	0.05959       	0.05959      	0.1801       	0.1678       	0.1721       	0.7489         	0.01238      	0             	0.4633       	0.1797       	0.175        	0.1208       	0.06119       	1.061          	0.222        	0.2832       	0.2832       
MainInventorLoses                	826          	1             	1            	3.764           	0.06521       	0.06521      	0.2662       	0.1343       	0.1459       	0              	0.02052      	0             	0.3793       	0.2343       	0.03434      	0.0007679    	-0.06444      	0.9356         	0.003093     	-0.06134     	-0.06134     
AllHighValue                     	1974         	1             	0.4878       	2.133           	0.03486       	--           	0.2224       	0.219        	0.218        	0.2161         	0.0002366    	0             	0.5621       	0.2224       	0.2221       	0.04398      	0.009118      	1.009          	0.07555      	0.08467      	0.08467      
InventionOccursHighValue         	567          	1             	1            	4.928           	0.07092       	0.07092      	0.2224       	0.219        	0.218        	0.7523         	0.0008237    	0             	0.5621       	0.2224       	0.2221       	0.1531       	0.0822        	1.082          	0.263        	0.3452       	0.3452       
