                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	10            	10           	1.62            	1.167         	0.06672      	2.517        	2.523        	2.516        	0.3275         	0.1746       	0             	3.704        	2.408        	2.326        	1.197        	0.02994       	1.002          	0.6986       	0.7285       	0.7285       
FirstTries                       	10000        	10            	10           	1.62            	1.167         	0.06672      	2.517        	2.523        	2.516        	0.3275         	0.1746       	0             	3.704        	2.408        	2.326        	1.197        	0.02994       	1.002          	0.6986       	0.7285       	0.7285       
SomeoneTries                     	10000        	10            	10           	1.62            	1.167         	0.06672      	2.517        	2.523        	2.516        	0.3275         	0.1746       	0             	3.704        	2.408        	2.326        	1.197        	0.02994       	1.002          	0.6986       	0.7285       	0.7285       
NooneTries                       	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionOccurs                  	9931         	10            	10           	1.623           	1.166         	0.06664      	2.517        	2.523        	2.516        	0.3297         	0.1758       	0             	3.704        	2.408        	2.326        	1.205        	0.03908       	1.003          	0.7034       	0.7425       	0.7425       
SomeUsersPay                     	5824         	10            	10           	1.653           	1.185         	0.06853      	2.562        	2.828        	2.865        	0.5623         	0            	0             	4.146        	2.562        	2.562        	1.398        	0.2123        	1.019          	0.8853       	1.098        	1.098        
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	9759         	10            	10           	1.626           	1.168         	0.06681      	2.552        	2.559        	2.559        	0.3356         	0.1789       	0             	3.769        	2.44         	2.36         	1.227        	0.05863       	1.005          	0.7158       	0.7744       	0.7744       
MainInventorLoses                	9064         	10            	10           	1.618           	1.166         	0.06662      	2.504        	2.513        	2.502        	0.3264         	0.1735       	0             	3.684        	2.397        	2.314        	1.19         	0.02336       	0.8832         	0.6939       	0.7173       	0.7173       
AllHighValue                     	1983         	10            	10           	1.864           	1.271         	0.07708      	4.274        	4.28         	4.5          	0.4464         	0.07927      	0             	6.624        	4.229        	4.196        	2.199        	0.9285        	1.094          	1.265        	2.193        	2.193        
InventionOccursHighValue         	1976         	10            	10           	1.866           	1.27          	0.07701      	4.274        	4.28         	4.5          	0.4479         	0.07956      	0             	6.624        	4.229        	4.196        	2.207        	0.937         	1.095          	1.269        	2.206        	2.206        
