                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1.903         	1.898        	1.725           	0.7126        	--           	8.68         	8.569        	8.539        	0.2461         	0.1013       	0             	2.93         	7.957        	7.832        	0.6858       	-0.02679      	1.012          	0.4713       	0.4445       	5.297        
FirstTries                       	9980         	1.902         	1.9          	1.725           	0.7129        	0.3276       	8.692        	8.581        	8.551        	0.2462         	0.1012       	0             	2.934        	7.967        	7.843        	0.6867       	-0.0262       	1.012          	0.4722       	0.446        	5.307        
SomeoneTries                     	9997         	1.902         	1.899        	1.725           	0.7128        	0.328        	8.68         	8.569        	8.539        	0.2462         	0.1014       	0             	2.93         	7.957        	7.832        	0.686        	-0.02677      	1.012          	0.4714       	0.4446       	5.299        
NooneTries                       	3            	2             	0            	--              	0.1           	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.1          	0.95           	0            	-0.1         	-0.1         
InventionOccurs                  	9665         	1.907         	1.903        	1.734           	0.712         	0.3266       	8.68         	8.569        	8.539        	0.2546         	0.1048       	0             	2.93         	7.957        	7.832        	0.7096       	-0.00244      	1.026          	0.4876       	0.4852       	5.506        
SomeUsersPay                     	3667         	1.847         	1.845        	2.299           	0.5477        	0.2539       	1.447        	3.226        	2.972        	0.6711         	0            	0             	3.37         	1.447        	1.447        	0.8792       	0.3315        	1.21           	1.483        	1.814        	7.107        
SomeIntentionalInfringement      	2015         	1.899         	1.89         	1.597           	0.6284        	0.288        	4.745        	3.324        	1.295        	0              	0.5029       	0             	2.552        	3.424        	3.224        	1.803        	1.175         	1.661          	-0.36        	0.815        	4.524        
InventionUsed                    	5661         	1.866         	1.861        	2.052           	0.5765        	0.2661       	2.623        	3.272        	2.385        	0.4347         	0.1772       	0             	3.09         	2.156        	2.085        	1.211        	0.635         	1.372          	0.8321       	1.467        	6.214        
MainInventorLoses                	7387         	1.955         	1.949        	1.516           	0.7794        	--           	10.83        	10.41        	10.75        	0.155          	0.07523      	0             	2.666        	10.02        	9.874        	0.4176       	-0.3618       	0.6145         	0.2429       	-0.1189      	4.423        
AllHighValue                     	1975         	1.901         	1.901        	2.204           	0.8254        	0.3896       	15.09        	14.92        	14.72        	0.3621         	0.1361       	0             	5.238        	14.2         	14.09        	1.729        	0.9033        	1.553          	1.014        	1.917        	10.69        
InventionOccursHighValue         	1926         	1.903         	1.903        	2.218           	0.8241        	0.3883       	15.09        	14.92        	14.72        	0.3713         	0.1395       	0             	5.238        	14.2         	14.09        	1.773        	0.9485        	1.58           	1.04         	1.988        	10.98        
