                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1.742         	1.416        	1.667           	0.4396        	--           	7.044        	7.078        	7.044        	0.3372         	0            	0             	3.017        	6.455        	6.376        	0.3932       	-0.04637      	0.992          	0.7592       	0.7128       	4.823        
FirstTries                       	8117         	1.744         	1.656        	1.667           	0.4949        	0.2529       	6.965        	6.986        	6.965        	0.4            	0            	0             	3.106        	6.349        	6.273        	0.4764       	-0.0185       	1.002          	0.9288       	0.9103       	5.737        
SomeoneTries                     	8838         	1.765         	1.603        	1.667           	0.4871        	0.2567       	7.044        	7.078        	7.044        	0.3815         	0            	0             	3.017        	6.455        	6.376        	0.4449       	-0.0422       	0.9975         	0.859        	0.8168       	5.467        
NooneTries                       	1162         	1.563         	0            	--              	0.07814       	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.07814      	0.95           	0            	-0.07814     	-0.07814     
InventionOccurs                  	7785         	1.79          	1.648        	1.685           	0.4957        	0.2536       	7.044        	7.078        	7.044        	0.4331         	0            	0             	3.017        	6.455        	6.376        	0.5051       	0.00936       	1.035          	0.9752       	0.9846       	6.264        
SomeUsersPay                     	4706         	1.725         	1.632        	1.986           	0.4097        	0.2082       	1.249        	2.345        	1.249        	0.7165         	0            	0             	3.28         	1.249        	1.249        	0.8355       	0.4258        	1.279          	1.613        	2.039        	7.35         
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	4706         	1.725         	1.632        	1.986           	0.4097        	0.2082       	1.249        	2.345        	1.249        	0.7165         	0            	0             	3.28         	1.249        	1.249        	0.8355       	0.4258        	1.279          	1.613        	2.039        	7.35         
MainInventorLoses                	7579         	1.804         	1.384        	1.47            	0.4562        	--           	9.602        	9.19         	9.602        	0.2032         	0            	0             	2.629        	8.748        	8.633        	0.2007       	-0.2555       	0.7547         	0.3619       	0.1065       	3.492        
AllHighValue                     	1987         	1.747         	1.625        	1.925           	0.5666        	--           	10.43        	11.2         	10.43        	0.5318         	0            	0             	5.215        	9.536        	9.49         	0.9348       	0.3682        	1.24           	1.936        	2.304        	10.14        
InventionOccursHighValue         	1734         	1.777         	1.727        	1.958           	0.5913        	0.2986       	10.43        	11.2         	10.43        	0.6094         	0            	0             	5.215        	9.536        	9.49         	1.071        	0.4799        	1.316          	2.218        	2.698        	11.68        
