                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	2.407         	1.604        	1.819           	0.4738        	--           	13.99        	13.55        	13.87        	0.1336         	0.06011      	0             	3.155        	12.99        	12.84        	0.4451       	-0.02864      	0.9973         	0.2146       	0.186        	4.427        
FirstTries                       	6710         	2.385         	2.197        	1.819           	0.5885        	0.223        	13.52        	13.17        	13.49        	0.1932         	0.08364      	0             	3.206        	12.56        	12.42        	0.6303       	0.04174       	1.021          	0.324        	0.3657       	5.916        
SomeoneTries                     	7795         	2.403         	2.058        	1.819           	0.5735        	0.2335       	13.99        	13.55        	13.87        	0.1714         	0.07711      	0             	3.155        	12.99        	12.84        	0.571        	-0.002506     	1.011          	0.2753       	0.2728       	5.713        
NooneTries                       	2205         	2.421         	0            	--              	0.121         	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.121        	0.95           	0            	-0.121       	-0.121       
InventionOccurs                  	7471         	2.406         	2.083        	1.838           	0.5765        	0.2317       	13.99        	13.55        	13.87        	0.1788         	0.08045      	0             	3.155        	12.99        	12.84        	0.5958       	0.01925       	1.02           	0.2873       	0.3065       	5.983        
SomeUsersPay                     	1973         	2.303         	2.2          	2.689           	0.4203        	0.1452       	1.494        	3.87         	3.405        	0.6771         	0            	0             	3.434        	1.494        	1.494        	0.8981       	0.4778        	1.221          	1.492        	1.969        	7.345        
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	3129         	2.315         	2.174        	2.376           	0.4408        	0.1568       	3.056        	3.982        	2.681        	0.4269         	0.1906       	0             	3.214        	2.52         	2.446        	1.423        	0.9818        	1.434          	0.6858       	1.668        	6.582        
MainInventorLoses                	8793         	2.432         	1.534        	1.708           	0.4778        	--           	16.04        	15.27        	15.94        	0.08778        	0.04353      	0             	3.068        	14.96        	14.8         	0.2848       	-0.193        	0.8031         	0.134        	-0.05906     	4.003        
AllHighValue                     	2104         	2.413         	2.064        	2.005           	0.694         	--           	24.15        	24.3         	25.13        	0.187          	0.08952      	0             	4.992        	23.51        	23.36        	1.265        	0.5715        	1.258          	0.2848       	0.8563       	9.223        
InventionOccursHighValue         	1958         	2.421         	2.17         	2.02            	0.7212        	0.2869       	24.15        	24.3         	25.13        	0.2009         	0.09619      	0             	4.992        	23.51        	23.36        	1.36         	0.6387        	1.288          	0.306        	0.9447       	9.935        
