                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1.002         	0.4217       	1.771           	0.1117        	--           	8.095        	7.9          	8.095        	0.08304        	0            	0             	3.395        	7.231        	7.159        	0.1063       	-0.005406     	0.9947         	0.2029       	0.1975       	1.246        
FirstTries                       	4205         	1.003         	1.003        	1.771           	0.1967        	0.1461       	8.095        	7.9          	8.095        	0.1975         	0            	0             	3.395        	7.231        	7.159        	0.2529       	0.05616       	1.056          	0.4826       	0.5388       	3.031        
SomeoneTries                     	4205         	1.003         	1.003        	1.771           	0.1967        	0.1461       	8.095        	7.9          	8.095        	0.1975         	0            	0             	3.395        	7.231        	7.159        	0.2529       	0.05616       	1.056          	0.4826       	0.5388       	3.031        
NooneTries                       	5795         	1.002         	0            	--              	0.05008       	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.05008      	0.95           	0            	-0.05008     	-0.05008     
InventionOccurs                  	1773         	1.005         	1.005        	1.84            	0.1976        	0.1466       	8.095        	7.9          	8.095        	0.4684         	0            	0             	3.395        	7.231        	7.159        	0.5997       	0.4022        	1.402          	1.145        	1.547        	7.458        
SomeUsersPay                     	1134         	1.003         	1.003        	2.157           	0.1657        	0.1153       	1.373        	2.475        	1.373        	0.7323         	0            	0             	3.631        	1.373        	1.373        	0.9377       	0.772         	1.77           	1.79         	2.562        	8.452        
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	1134         	1.003         	1.003        	2.157           	0.1657        	0.1153       	1.373        	2.475        	1.373        	0.7323         	0            	0             	3.631        	1.373        	1.373        	0.9377       	0.772         	1.77           	1.79         	2.562        	8.452        
MainInventorLoses                	8966         	1.002         	0.3549       	1.628           	0.1051        	--           	17.38        	15.27        	17.38        	0.007751       	0            	0             	2.714        	15.31        	15.13        	0.0008847    	-0.1042       	0.8958         	0.006099     	-0.09812     	0.3441       
AllHighValue                     	1978         	1.002         	0.5637       	2.075           	0.159         	--           	11.91        	12.05        	11.91        	0.1448         	0            	0             	5.266        	10.79        	10.74        	0.2689       	0.1099        	1.11           	0.5242       	0.6341       	2.901        
InventionOccursHighValue         	495          	1.002         	1.002        	2.176           	0.2396        	0.1894       	11.91        	12.05        	11.91        	0.5785         	0            	0             	5.266        	10.79        	10.74        	1.075        	0.8349        	1.835          	2.094        	2.929        	11.99        
