                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1.859         	1.168        	1.012           	0.3469        	--           	1.007        	1.04         	1.007        	0.5271         	0            	0             	3.165        	0.9189       	0.9069       	0.3376       	-0.009272     	0.9986         	1.433        	1.424        	5.191        
FirstTries                       	6339         	1.853         	1.613        	1.012           	0.4438        	0.2182       	0.9716       	1.015        	0.9716       	0.7099         	0            	0             	3.286        	0.8998       	0.89         	0.4636       	0.0198        	1.027          	1.988        	2.008        	7.173        
SomeoneTries                     	7798         	1.88          	1.498        	1.012           	0.4196        	0.2175       	1.007        	1.04         	1.007        	0.6759         	0            	0             	3.165        	0.9189       	0.9069       	0.4329       	0.01328       	1.012          	1.838        	1.851        	6.682        
NooneTries                       	2202         	1.783         	0            	--              	0.08915       	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.08915      	0.95           	0            	-0.08915     	-0.08915     
InventionOccurs                  	6627         	1.896         	1.555        	1.012           	0.4314        	0.2162       	1.007        	1.04         	1.007        	0.7953         	0            	0             	3.165        	0.9189       	0.9069       	0.5094       	0.07801       	1.05           	2.163        	2.241        	7.925        
SomeUsersPay                     	6228         	1.894         	1.573        	1.012           	0.4214        	0.2058       	0.6884       	0.8233       	0.6884       	0.8463         	0            	0             	3.261        	0.6884       	0.6884       	0.542        	0.1206        	1.074          	2.302        	2.422        	8.256        
SomeIntentionalInfringement      	0            	--            	--           	--              	--            	--           	--           	--           	--           	--             	--           	--            	--           	--           	--           	--           	--            	--             	--           	--           	--           
InventionUsed                    	6228         	1.894         	1.573        	1.012           	0.4214        	0.2058       	0.6884       	0.8233       	0.6884       	0.8463         	0            	0             	3.261        	0.6884       	0.6884       	0.542        	0.1206        	1.074          	2.302        	2.422        	8.256        
MainInventorLoses                	7046         	1.883         	1.015        	1.011           	0.3161        	--           	1.212        	1.173        	1.212        	0.3872         	0            	0             	2.842        	1.053        	1.031        	0.2207       	-0.09539      	0.8499         	0.9832       	0.8879       	3.558        
AllHighValue                     	1956         	1.851         	1.548        	1.014           	0.4399        	--           	0.7245       	0.731        	0.7245       	0.7641         	0            	0             	4.857        	0.7245       	0.7245       	0.5335       	0.09363       	1.063          	3.168        	3.262        	10.73        
InventionOccursHighValue         	1626         	1.885         	1.672        	1.014           	0.47          	0.2237       	0.7245       	0.731        	0.7245       	0.9191         	0            	0             	4.857        	0.7245       	0.7245       	0.6418       	0.1718        	1.11           	3.811        	3.983        	12.97        
