                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	2.671         	1.954        	1.401           	0.6003        	--           	3.027        	2.97         	3.022        	0.1314         	0.07613      	0             	4.468        	2.902        	2.82         	0.592        	-0.008295     	1.001          	0.3359       	0.3276       	2.782        
FirstTries                       	7329         	2.668         	2.549        	1.401           	0.7333        	0.239        	3.067        	3.027        	3.081        	0.1746         	0.09396      	0             	4.552        	2.952        	2.873        	0.7793       	0.04593       	1.019          	0.4435       	0.4894       	3.716        
SomeoneTries                     	7998         	2.674         	2.443        	1.401           	0.7172        	0.2453       	3.027        	2.97         	3.022        	0.1643         	0.09518      	0             	4.468        	2.902        	2.82         	0.7401       	0.02289       	1.013          	0.42         	0.4429       	3.512        
NooneTries                       	2002         	2.657         	0            	--              	0.1329        	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.1329       	0.95           	0            	-0.1329      	-0.1329      
InventionOccurs                  	4061         	2.707         	2.557        	1.452           	0.7227        	0.2352       	3.027        	2.97         	3.022        	0.3236         	0.1875       	0             	4.468        	2.902        	2.82         	1.458        	0.7349        	1.288          	0.8272       	1.562        	7.606        
SomeUsersPay                     	2398         	2.702         	2.621        	1.464           	0.7478        	0.2374       	3.079        	3.263        	3.367        	0.548          	0            	0             	4.907        	3.079        	3.079        	1.657        	0.9095        	1.387          	0.9986       	1.908        	8.642        
SomeIntentionalInfringement      	1636         	2.714         	2.463        	1.44            	0.6916        	0.2343       	2.992        	2.58         	2.565        	0              	0.4653       	0             	3.897        	2.68         	2.48         	1.189        	0.4975        	1.149          	0.5897       	1.087        	6.217        
InventionUsed                    	4034         	2.707         	2.557        	1.455           	0.725         	0.2361       	3.044        	2.986        	3.042        	0.3258         	0.1887       	0             	4.497        	2.917        	2.836        	1.467        	0.7424        	1.291          	0.8328       	1.575        	7.658        
MainInventorLoses                	8506         	2.679         	1.858        	1.39            	0.5798        	--           	2.994        	2.922        	2.963        	0.09267        	0.05959      	0             	4.388        	2.868        	2.78         	0.4317       	-0.1481       	0.7872         	0.2419       	0.09376      	1.882        
AllHighValue                     	2056         	2.665         	2.66         	1.473           	0.9055        	0.2914       	4.295        	4.275        	4.504        	0.2414         	0.04678      	0             	6.638        	4.248        	4.213        	1.211        	0.3055        	1.126          	0.6914       	0.9969       	5.934        
InventionOccursHighValue         	1127         	2.697         	2.691        	1.523           	0.8789        	0.2771       	4.295        	4.275        	4.504        	0.4403         	0.08534      	0             	6.638        	4.248        	4.213        	2.209        	1.33          	1.527          	1.261        	2.592        	11.6         
