                                 	Total        	Entrants      	Trying       	MainSpendM      	TotSpend      	AvgInv       	ISP          	CSP          	UAP          	PropUsing      	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	UserUt       	PrvWel       	SocWel       
All                              	10000        	1             	0.948        	2.48            	0.4074        	--           	1.973        	7.019        	6.648        	0.1942         	0.06089      	0             	3.626        	2.676        	2.627        	0.6426       	0.2352        	1.235          	0.2964       	0.5316       	2.773        
FirstTries                       	9480         	1             	1            	2.48            	0.427         	0.377        	1.973        	7.019        	6.648        	0.2049         	0.06423      	0             	3.626        	2.676        	2.627        	0.6779       	0.2509        	1.251          	0.3126       	0.5635       	2.928        
SomeoneTries                     	9480         	1             	1            	2.48            	0.427         	0.377        	1.973        	7.019        	6.648        	0.2049         	0.06423      	0             	3.626        	2.676        	2.627        	0.6779       	0.2509        	1.251          	0.3126       	0.5635       	2.928        
NooneTries                       	520          	1             	0            	--              	0.05          	--           	--           	--           	--           	0              	0            	0             	--           	--           	--           	0            	-0.05         	0.95           	0            	-0.05        	-0.05        
InventionOccurs                  	4192         	1             	1            	2.693           	0.4265        	0.3765       	1.973        	7.019        	6.648        	0.4633         	0.1453       	0             	3.626        	2.676        	2.627        	1.533        	1.106         	2.106          	0.707        	1.813        	7.161        
SomeUsersPay                     	3165         	1             	1            	2.825           	0.4247        	0.3747       	1.938        	7.722        	8.252        	0.6137         	0            	0             	3.623        	1.938        	1.938        	1.073        	0.6487        	1.649          	1.148        	1.797        	7.104        
SomeIntentionalInfringement      	999          	1             	1            	2.303           	0.4375        	0.3875       	2.13         	4.971        	1.755        	0              	0.6095       	0             	3.738        	5.071        	4.871        	3.032        	2.594         	3.594          	-0.6709      	1.923        	7.545        
InventionUsed                    	4158         	1             	1            	2.702           	0.4279        	0.3779       	1.986        	7.072        	6.703        	0.4671         	0.1457       	0             	3.655        	2.693        	2.645        	1.546        	1.118         	2.118          	0.7126       	1.83         	7.22         
MainInventorLoses                	6233         	1             	0.9166       	2.279           	0.3876        	--           	0.7307       	1.149        	0.7729       	0.02139        	0.01098      	0             	1.003        	0.6715       	0.5788       	0.01075      	-0.3769       	0.6231         	0.02211      	-0.3548      	-0.2571      
AllHighValue                     	1983         	1             	1            	3.449           	0.5787        	0.5287       	2.892        	11.18        	8.488        	0.2095         	0.1224       	0             	5.9          	5.366        	5.291        	1.598        	1.019         	2.019          	0.3056       	1.325        	5.663        
InventionOccursHighValue         	954          	1             	1            	3.742           	0.57          	0.52         	2.892        	11.18        	8.488        	0.4354         	0.2545       	0             	5.9          	5.366        	5.291        	3.322        	2.752         	3.752          	0.6352       	3.387        	12.4         
