                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	4.118         	3.083        	1.49            	0.679          	2.707        	0.3716         	0.594        	0.5966       	4.563        	0.938         	--           	17.47        	18.11        	0            	0             	4.274        	2.707        	2.707        	0.9406       	0.002613      	1.01           
FirstTries                       	7509         	4.109         	3.968        	1.49            	0.8624         	2.735        	0.4725         	0.7683       	0.8373       	5.94         	1.139         	0.2382       	17.72        	18.41        	0            	0             	4.326        	2.735        	2.735        	1.208        	0.06893       	1.03           
SomeoneTries                     	8071         	4.117         	3.819        	1.49            	0.8413         	2.707        	0.4604         	0.736        	0.7884       	5.703        	1.113         	0.2424       	17.47        	18.11        	0            	0             	4.274        	2.707        	2.707        	1.165        	0.05246       	1.024          
NooneTries                       	1929         	4.119         	0            	--              	0              	--           	0              	0            	-0.2059      	-0.2059      	0.2059        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2059       	0.95           
InventionOccurs                  	6790         	4.119         	3.924        	1.525           	1              	2.707        	0.5473         	0.8748       	1.139        	6.981        	1.121         	0.237        	17.47        	18.11        	0            	0             	4.274        	2.707        	2.707        	1.385        	0.2646        	1.079          
SomeUsersPay                     	6790         	4.119         	3.924        	1.525           	1              	2.707        	0.5473         	0.8748       	1.139        	6.981        	1.121         	0.237        	17.47        	18.11        	0            	0             	4.274        	2.707        	2.707        	1.385        	0.2646        	1.079          
SomeIntentionalInfringement      	0            	--            	--           	--              	--             	--           	--             	--           	--           	--           	--            	--           	--           	--           	--           	--            	--           	--           	--           	--           	--            	--             
InventionUsed                    	6790         	4.119         	3.924        	1.525           	1              	2.707        	0.5473         	0.8748       	1.139        	6.981        	1.121         	0.237        	17.47        	18.11        	0            	0             	4.274        	2.707        	2.707        	1.385        	0.2646        	1.079          
MainInventorLoses                	8342         	4.12          	2.915        	1.468           	0.6152         	2.673        	0.3388         	0.5329       	0.4776       	4.03         	0.8968        	--           	17.26        	17.87        	0            	0             	4.224        	2.673        	2.673        	0.8415       	-0.05528      	0.7842         
AllHighValue                     	1950         	4.115         	4.076        	1.789           	0.8821         	4.186        	0.4724         	1.184        	1.634        	9.587        	1.443         	0.3048       	32.68        	35.59        	0            	0             	6.601        	4.186        	4.186        	1.893        	0.4495        	1.144          
InventionOccursHighValue         	1720         	4.115         	4.086        	1.832           	1              	4.186        	0.5355         	1.343        	2.06         	11.08        	1.428         	0.3004       	32.68        	35.59        	0            	0             	6.601        	4.186        	4.186        	2.146        	0.7172        	1.215          
