                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1.401         	1.394        	1.067           	0.4759         	1.497        	0.3204         	0.6174       	0.6026       	2.965        	0.4298        	--           	6.086        	6.071        	0            	0             	3.231        	1.497        	1.497        	0.415        	-0.01479      	0.9979         
FirstTries                       	9969         	1.399         	1.396        	1.067           	0.4765         	1.5          	0.3207         	0.6192       	0.6055       	2.975        	0.4298        	0.2588       	6.096        	6.082        	0            	0             	3.236        	1.5          	1.5          	0.4162       	-0.01366      	0.998          
SomeoneTries                     	9994         	1.401         	1.395        	1.067           	0.4762         	1.497        	0.3206         	0.6177       	0.603        	2.967        	0.43          	0.2592       	6.086        	6.071        	0            	0             	3.231        	1.497        	1.497        	0.4153       	-0.01473      	0.9979         
NooneTries                       	6            	2             	0            	--              	0              	--           	0              	0            	-0.1         	-0.1         	0.1           	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.1          	0.95           
InventionOccurs                  	4759         	1.52          	1.515        	1.064           	1              	1.497        	0.6732         	1.297        	1.709        	6.673        	0.4602        	0.2548       	6.086        	6.071        	0            	0             	3.231        	1.497        	1.497        	0.8721       	0.4118        	1.339          
SomeUsersPay                     	4759         	1.52          	1.515        	1.064           	1              	1.497        	0.6732         	1.297        	1.709        	6.673        	0.4602        	0.2548       	6.086        	6.071        	0            	0             	3.231        	1.497        	1.497        	0.8721       	0.4118        	1.339          
SomeIntentionalInfringement      	0            	--            	--           	--              	--             	--           	--             	--           	--           	--           	--            	--           	--           	--           	--           	--            	--           	--           	--           	--           	--            	--             
InventionUsed                    	4759         	1.52          	1.515        	1.064           	1              	1.497        	0.6732         	1.297        	1.709        	6.673        	0.4602        	0.2548       	6.086        	6.071        	0            	0             	3.231        	1.497        	1.497        	0.8721       	0.4118        	1.339          
MainInventorLoses                	6993         	1.422         	1.413        	1.063           	0.2505         	1.148        	0.1743         	0.2696       	-0.001119    	0.9927       	0.4378        	--           	4.537        	4.449        	0            	0             	2.557        	1.148        	1.148        	0.1671       	-0.2707       	0.7009         
AllHighValue                     	1976         	1.405         	1.405        	1.079           	0.4631         	2.114        	0.354          	1.283        	1.465        	5.637        	0.4461        	0.2683       	9.906        	9.537        	0            	0             	5.563        	2.114        	2.114        	0.6272       	0.181         	1.136          
InventionOccursHighValue         	915          	1.533         	1.533        	1.076           	1              	2.114        	0.7645         	2.772        	3.649        	12.66        	0.4772        	0.2619       	9.906        	9.537        	0            	0             	5.563        	2.114        	2.114        	1.354        	0.8771        	1.668          
