                                 	Total        	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      
All                              	10000        	1             	0.972        	2.378           	0.7663         	2.256        	0.341          	0.4082       	1.176        	5.127        	0.3853        	--           	10.92        	11.06        	0.07717      	0             	3.675        	2.828        	2.79         	1.153        	0.7677        	1.768          
FirstTries                       	9720         	1             	1            	2.378           	0.7884         	2.256        	0.3508         	0.42         	1.211        	5.276        	0.395         	0.345        	10.92        	11.06        	0.07939      	0             	3.675        	2.828        	2.79         	1.186        	0.7912        	1.791          
SomeoneTries                     	9720         	1             	1            	2.378           	0.7884         	2.256        	0.3508         	0.42         	1.211        	5.276        	0.395         	0.345        	10.92        	11.06        	0.07939      	0             	3.675        	2.828        	2.79         	1.186        	0.7912        	1.791          
NooneTries                       	280          	1             	0            	--              	0              	--           	0              	0            	-0.05        	-0.05        	0.05          	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.05         	0.95           
InventionOccurs                  	7663         	1             	1            	2.486           	1              	2.256        	0.445          	0.5327       	1.644        	6.799        	0.3938        	0.3438       	10.92        	11.06        	0.1007       	0             	3.675        	2.828        	2.79         	1.505        	1.111         	2.111          
SomeUsersPay                     	6200         	1             	1            	2.532           	1              	2.347        	0.55           	0.8994       	1.697        	7.045        	0.4051        	0.3551       	12.38        	13.33        	0            	0             	3.848        	2.347        	2.347        	1.203        	0.7975        	1.798          
SomeIntentionalInfringement      	1392         	1             	1            	2.336           	1              	1.945        	0              	-1.073       	1.506        	6.061        	0.3476        	0.2976       	4.987        	1.53         	0.5544       	0             	3.093        	5.087        	4.887        	2.926        	2.579         	3.579          
InventionUsed                    	7572         	1             	1            	2.5             	1              	2.277        	0.4503         	0.5388       	1.667        	6.882        	0.3946        	0.3446       	11.05        	11.2         	0.1008       	0             	3.718        	2.856        	2.82         	1.523        	1.128         	2.128          
MainInventorLoses                	3215         	1             	0.9129       	1.85            	0.2731         	0.7174       	0.0763         	0.0503       	-0.2549      	0.05806      	0.3526        	--           	1.117        	0.748        	0.04682      	0             	0.8416       	0.6402       	0.5413       	0.04737      	-0.3052       	0.6948         
AllHighValue                     	1999         	1             	1            	3.087           	0.8014         	3.529        	0.3588         	0.3684       	2.507        	9.733        	0.4957        	0.4457       	21.53        	20.62        	0.1351       	0             	6.234        	5.649        	5.598        	2.634        	2.138         	3.138          
InventionOccursHighValue         	1602         	1             	1            	3.258           	1              	3.529        	0.4477         	0.4598       	3.254        	12.27        	0.4921        	0.4421       	21.53        	20.62        	0.1686       	0             	6.234        	5.649        	5.598        	3.287        	2.795         	3.795          
