                                 	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	Total        	inois        	wcp          	mnum         	probmin      	inadv        
AllObs                           	3.179         	1.843        	1.8             	0.4003         	2.848        	0.2163         	0.3676       	0.3623       	2.841        	0.6083        	--           	9.53         	9.53         	0            	0             	4.52         	2.848        	2.848        	0.603        	-0.005358     	1.002          	10000        	0            	0.5          	10           	0.35         	0            
FirstTries                       	3.177         	2.885        	1.8             	0.6035         	2.914        	0.3283         	0.581        	0.6726       	4.529        	0.844         	0.2445       	9.684        	9.684        	0            	0             	4.651        	2.914        	2.914        	0.9355       	0.09152       	1.039          	5816         	0            	0.5          	10           	0.35         	0            
SomeoneTries                     	3.184         	2.618        	1.8             	0.5686         	2.848        	0.3072         	0.5222       	0.5812       	4.102        	0.7975        	0.2553       	9.53         	9.53         	0            	0             	4.52         	2.848        	2.848        	0.8565       	0.05897       	1.023          	7040         	0            	0.5          	10           	0.35         	0            
NooneTries                       	3.167         	0            	--              	0              	--           	0              	0            	-0.1584      	-0.1584      	0.1584        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.1584       	0.95           	2960         	0            	0.5          	10           	0.35         	0            
InventionOccurs                  	3.184         	2.778        	1.865           	1              	2.848        	0.5403         	0.9184       	1.609        	7.801        	0.8153        	0.246        	9.53         	9.53         	0            	0             	4.52         	2.848        	2.848        	1.506        	0.691         	1.226          	4003         	0            	0.5          	10           	0.35         	0            
SomeUsersPay                     	3.184         	2.778        	1.865           	1              	2.848        	0.5403         	0.9184       	1.609        	7.801        	0.8153        	0.246        	9.53         	9.53         	0            	0             	4.52         	2.848        	2.848        	1.506        	0.691         	1.226          	4003         	0            	0.5          	10           	0.35         	0            
SomeIntentionalInfringement      	--            	--           	--              	--             	--           	--             	--           	--           	--           	--            	--           	--           	--           	--           	--            	--           	--           	--           	--           	--            	--             	0            	--           	--           	--           	--           	--           
InventionUsed                    	3.184         	2.778        	1.865           	1              	2.848        	0.5403         	0.9184       	1.609        	7.801        	0.8153        	0.246        	9.53         	9.53         	0            	0             	4.52         	2.848        	2.848        	1.506        	0.691         	1.226          	4003         	0            	0.5          	10           	0.35         	0            
MainInventorLoses                	3.186         	1.712        	1.79            	0.3129         	2.837        	0.169          	0.2845       	0.1733       	2.099        	0.58          	--           	9.497        	9.497        	0            	0             	4.495        	2.837        	2.837        	0.4689       	-0.1112       	0.823          	8728         	0            	0.5          	10           	0.35         	0            
HighValue                        	3.182         	2.792        	1.834           	0.5711         	4.054        	0.3137         	0.7903       	1.03         	6.169        	1.003         	--           	15.69        	15.69        	0            	0             	6.525        	4.054        	4.054        	1.243        	0.2398        	1.098          	1954         	0            	0.5          	10           	0.35         	0            
InventionOccursHighValue         	3.19          	2.995        	1.898           	1              	4.054        	0.5492         	1.384        	2.529        	11.53        	1.031         	0.301        	15.69        	15.69        	0            	0             	6.525        	4.054        	4.054        	2.176        	1.145         	1.402          	1116         	0            	0.5          	10           	0.35         	0            
