                                 	Entrants      	Trying       	MainSpendM      	Invention      	ISP          	PropUsing      	UserUt       	PrvWel       	SocWel       	TotSpend      	AvgInv       	CSP          	UAP          	PropInt      	PropInad      	PUB          	PUC          	PUR          	TotRec       	DelInvUt      	MainInvUt      	Total        	inois        	wcp          	mnum         	probmin      	inadv        
AllObs                           	2.096         	1.199        	1.813           	0.3299         	2.984        	0.1728         	0.2859       	0.2826       	2.346        	0.5108        	--           	11.29        	11.29        	0            	0             	4.62         	2.984        	2.984        	0.5075       	-0.003385     	1.006          	10000        	0            	0.5          	10           	0.35         	0            
FirstTries                       	2.097         	2.015        	1.813           	0.5481         	3.016        	0.2875         	0.4828       	0.6262       	4.098        	0.7096        	0.2524       	11.42        	11.42        	0            	0             	4.675        	3.016        	3.016        	0.8531       	0.1435        	1.084          	5720         	0            	0.5          	10           	0.35         	0            
SomeoneTries                     	2.1           	1.947        	1.813           	0.5358         	2.984        	0.2807         	0.4644       	0.5893       	3.941        	0.6993        	0.2581       	11.29        	11.29        	0            	0             	4.62         	2.984        	2.984        	0.8242       	0.1249        	1.071          	6157         	0            	0.5          	10           	0.35         	0            
NooneTries                       	2.089         	0            	--              	0              	--           	0              	0            	-0.2089      	-0.2089      	0.2089        	--           	--           	--           	0            	0             	--           	--           	--           	0            	-0.2089       	0.9            	3843         	0            	0.5          	10           	0.35         	0            
InventionOccurs                  	2.109         	1.999        	1.881           	1              	2.984        	0.5239         	0.8667       	1.717        	7.973        	0.6876        	0.2442       	11.29        	11.29        	0            	0             	4.62         	2.984        	2.984        	1.538        	0.8506        	1.431          	3299         	0            	0.5          	10           	0.35         	0            
SomeUsersPay                     	2.109         	1.999        	1.881           	1              	2.984        	0.5239         	0.8667       	1.717        	7.973        	0.6876        	0.2442       	11.29        	11.29        	0            	0             	4.62         	2.984        	2.984        	1.538        	0.8506        	1.431          	3299         	0            	0.5          	10           	0.35         	0            
SomeIntentionalInfringement      	--            	--           	--              	--             	--           	--             	--           	--           	--           	--            	--           	--           	--           	--           	--            	--           	--           	--           	--           	--            	--             	0            	--           	--           	--           	--           	--           
InventionUsed                    	2.109         	1.999        	1.881           	1              	2.984        	0.5239         	0.8667       	1.717        	7.973        	0.6876        	0.2442       	11.29        	11.29        	0            	0             	4.62         	2.984        	2.984        	1.538        	0.8506        	1.431          	3299         	0            	0.5          	10           	0.35         	0            
MainInventorLoses                	2.1           	1.053        	1.778           	0.2031         	2.933        	0.1067         	0.1717       	-0.0009806   	1.245        	0.4792        	--           	11.11        	11.11        	0            	0             	4.532        	2.933        	2.933        	0.3065       	-0.1727       	0.7746         	8409         	0            	0.5          	10           	0.35         	0            
HighValue                        	2.092         	1.914        	1.76            	0.5054         	4.274        	0.2665         	0.6445       	0.9438       	5.512        	0.8205        	--           	19.35        	19.35        	0            	0             	6.657        	4.274        	4.274        	1.12         	0.2993        	1.179          	2044         	0            	0.5          	10           	0.35         	0            
InventionOccursHighValue         	2.113         	2.057        	1.809           	1              	4.274        	0.5272         	1.275        	2.661        	11.7         	0.8303        	0.3085       	19.35        	19.35        	0            	0             	6.657        	4.274        	4.274        	2.216        	1.385         	1.738          	1033         	0            	0.5          	10           	0.35         	0            
