"Scenario","Filter","All","P1 0.17  ","P1 0.33  ","P1 0.5  ","P1 0.67  ","P1 0.83  "
"WarmCosts25000","All",1,0,0,0.403517,0,0
"WarmCosts25000","PSignal Liab 1 Dam 1",0,,,,,
"WarmCosts25000","PSignal Liab 1 Dam 2",0,,,,,
"WarmCosts25000","PSignal Liab 1 Dam 3",0,,,,,
"WarmCosts25000","PSignal Liab 1 Dam 4",0,,,,,
"WarmCosts25000","PSignal Liab 1 Dam 5",0,,,,,
"WarmCosts25000","PSignal Liab 2 Dam 1",0,,,,,
"WarmCosts25000","PSignal Liab 2 Dam 2",0,,,,,
"WarmCosts25000","PSignal Liab 2 Dam 3",0.0035,0,0,1,0,0
"WarmCosts25000","PSignal Liab 2 Dam 4",0.015,0,0,1,0,0
"WarmCosts25000","PSignal Liab 2 Dam 5",0.0193,0,0,1,0,0
"WarmCosts25000","PSignal Liab 3 Dam 1",0.0031,0,0,1,0,0
"WarmCosts25000","PSignal Liab 3 Dam 2",0.0179,0,0,1,0,0
"WarmCosts25000","PSignal Liab 3 Dam 3",0.0301,0,0,1,0,0
"WarmCosts25000","PSignal Liab 3 Dam 4",0.0458,0,0,1,0,0
"WarmCosts25000","PSignal Liab 3 Dam 5",0.0518,0,0,1,0,0
"WarmCosts25000","PSignal Liab 4 Dam 1",0.0224,0,0,1,0,0
"WarmCosts25000","PSignal Liab 4 Dam 2",0.0355,0,0,1,0,0
"WarmCosts25000","PSignal Liab 4 Dam 3",0.0444,0,0,1,0,0
"WarmCosts25000","PSignal Liab 4 Dam 4",0,,,,,
"WarmCosts25000","PSignal Liab 4 Dam 5",0,,,,,
"WarmCosts25000","PSignal Liab 5 Dam 1",0.0546,0,0,1,0,0
"WarmCosts25000","PSignal Liab 5 Dam 2",0.0602,0,0,1,0,0
"WarmCosts25000","PSignal Liab 5 Dam 3",0,,,,,
"WarmCosts25000","PSignal Liab 5 Dam 4",0,,,,,
"WarmCosts25000","PSignal Liab 5 Dam 5",0,,,,,
"WarmCosts0","All",1,0,0.0374591,0.00772757,0,0
"WarmCosts0","PSignal Liab 1 Dam 1",0,,,,,
"WarmCosts0","PSignal Liab 1 Dam 2",0,,,,,
"WarmCosts0","PSignal Liab 1 Dam 3",0,,,,,
"WarmCosts0","PSignal Liab 1 Dam 4",0,,,,,
"WarmCosts0","PSignal Liab 1 Dam 5",0,,,,,
"WarmCosts0","PSignal Liab 2 Dam 1",0,,,,,
"WarmCosts0","PSignal Liab 2 Dam 2",0.0021,0,1,0,0,0
"WarmCosts0","PSignal Liab 2 Dam 3",0.0073,0,1,0,0,0
"WarmCosts0","PSignal Liab 2 Dam 4",0.0135,0,1,0,0,0
"WarmCosts0","PSignal Liab 2 Dam 5",0.0145,0,1,0,0,0
"WarmCosts0","PSignal Liab 3 Dam 1",0.0017,0,0,1,0,0
"WarmCosts0","PSignal Liab 3 Dam 2",0,,,,,
"WarmCosts0","PSignal Liab 3 Dam 3",0,,,,,
"WarmCosts0","PSignal Liab 3 Dam 4",0,,,,,
"WarmCosts0","PSignal Liab 3 Dam 5",0,,,,,
"WarmCosts0","PSignal Liab 4 Dam 1",0.006,0,0,1,0,0
"WarmCosts0","PSignal Liab 4 Dam 2",0,,,,,
"WarmCosts0","PSignal Liab 4 Dam 3",0,,,,,
"WarmCosts0","PSignal Liab 4 Dam 4",0,,,,,
"WarmCosts0","PSignal Liab 4 Dam 5",0,,,,,
"WarmCosts0","PSignal Liab 5 Dam 1",0,,,,,
"WarmCosts0","PSignal Liab 5 Dam 2",0,,,,,
"WarmCosts0","PSignal Liab 5 Dam 3",0,,,,,
"WarmCosts0","PSignal Liab 5 Dam 4",0,,,,,
"WarmCosts0","PSignal Liab 5 Dam 5",0,,,,,
"WarmCosts5000","All",1,0,0.0785994,0,0.297545,0.101409
"WarmCosts5000","PSignal Liab 1 Dam 1",0,,,,,
"WarmCosts5000","PSignal Liab 1 Dam 2",0,,,,,
"WarmCosts5000","PSignal Liab 1 Dam 3",0,,,,,
"WarmCosts5000","PSignal Liab 1 Dam 4",0,,,,,
