"OptionSet","Exploit","Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","DLiabilitySignal 1"
"damlowcosts","0.00030823996875044995","All",1,1,1,0,99918,1088250,888415,0,,1,1,0.20052,0.19932,0.20036,0.20104,0.19876,1,1
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 1",0.1979,1,1,0,63975.3,1052310,924358,0,,1,0.19792,0.795675,0.198666,0.00565885,0,0,1,1
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 2",0.2029,1,1,0,78760.8,1067090,909572,0,,1,0.20288,0.205244,0.589117,0.199132,0.00650631,0,1,1
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 3",0.1987,1,1,0,100554,1088890,887780,0,,1,0.19868,0.00684518,0.197906,0.583853,0.205959,0.00543588,1,1
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 4",0.2036,1,1,0,120869,1109200,867464,0,,1,0.2036,0.000196464,0.00569745,0.204715,0.586837,0.202554,1,1
"damlowcosts","0.00030823996875044995","PSignal Liab 1 Dam 5",0.1969,1,1,0,135537,1123870,852796,0,,1,0.19692,0,0,0.00589072,0.199675,0.794434,1,1
"damlowcosts","0.00030823996875044995","DSignal Liab 1 Dam 1",0.2004,1,1,0,64448.2,1052780,923885,0,,1,0.20044,0.79525,0.197765,0.00698463,0,0,1,1
"damlowcosts","0.00030823996875044995","DSignal Liab 1 Dam 2",0.2008,1,1,0,78899.4,1067230,909434,0,,1,0.2008,0.198805,0.590637,0.205179,0.00537849,0,1,1
"damlowcosts","0.00030823996875044995","DSignal Liab 1 Dam 3",0.2006,1,1,0,100244,1088580,888089,0,,1,0.2006,0.00598205,0.200399,0.58345,0.201595,0.00857428,1,1
"damlowcosts","0.00030823996875044995","DSignal Liab 1 Dam 4",0.1991,1,1,0,121053,1109390,867281,0,,1,0.19912,0,0.00421856,0.198875,0.594014,0.202893,1,1
"damlowcosts","0.00030823996875044995","DSignal Liab 1 Dam 5",0.199,1,1,0,135370,1123700,852964,0,,1,0.19904,0,0.000200965,0.00562701,0.207195,0.786977,1,1
"damlowcosts","0.00030823996875044995","LiabStr 1",0,,,,,,,,,,0,,,,,,,
"damlowcosts","0.00030823996875044995","LiabStr 1 DamStr 1",0,,,,,,,,,,0,,,,,,,
"damlowcosts","0.00030823996875044995","LiabStr 1 DamStr 2",0,,,,,,,,,,0,,,,,,,
"damlowcosts","0.00030823996875044995","LiabStr 1 DamStr 3",0,,,,,,,,,,0,,,,,,,
"damlowcosts","0.00030823996875044995","LiabStr 1 DamStr 4",0,,,,,,,,,,0,,,,,,,
"damlowcosts","0.00030823996875044995","LiabStr 1 DamStr 5",0,,,,,,,,,,0,,,,,,,
"damlowcosts","0.00030823996875044995","LiabStr 2",1,1,1,0,99918,1088250,888415,0,,1,1,0.20052,0.19932,0.20036,0.20104,0.19876,1,1
"damlowcosts","0.00030823996875044995","LiabStr 2 DamStr 1",0.2005,1,1,0,60437.9,1048770,927895,0,,1,0.20052,1,0,0,0,0,1,1
"damlowcosts","0.00030823996875044995","LiabStr 2 DamStr 2",0.1993,1,1,0,77899.9,1066230,910433,0,,1,0.19932,0,1,0,0,0,1,1
"damlowcosts","0.00030823996875044995","LiabStr 2 DamStr 3",0.2004,1,1,0,100035,1088370,888298,0,,1,0.20036,0,0,1,0,0,1,1
"damlowcosts","0.00030823996875044995","LiabStr 2 DamStr 4",0.201,1,1,0,121946,1110280,866387,0,,1,0.20104,0,0,0,1,0,1,1
"damlowcosts","0.00030823996875044995","LiabStr 2 DamStr 5",0.1988,1,1,0,139429,1127760,848904,0,,1,0.19876,0,0,0,0,1,1,1
"dambasecosts","0.006203528529013135","All",1,1,1,0,100350,1065350,864650,0,,1,1,0.20028,0.1972,0.20196,0.19492,0.20564,1,1
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 1",0.1982,1,1,0,64583.3,1029580,900417,0,,1,0.19824,0.793382,0.200969,0.00564972,0,0,1,1
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 2",0.1995,1,1,0,79311.2,1044310,885689,0,,1,0.19948,0.209946,0.585322,0.200521,0.00421095,0,1,1
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 3",0.1996,1,1,0,99939.9,1064940,865060,0,,1,0.1996,0.00561122,0.199599,0.591984,0.196393,0.00641283,1,1
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 4",0.1989,1,1,0,121093,1086090,843907,0,,1,0.19888,0,0.0038214,0.206959,0.573813,0.215406,1,1
"dambasecosts","0.006203528529013135","PSignal Liab 1 Dam 5",0.2038,1,1,0,135893,1100890,829107,0,,1,0.2038,0,0,0.00745829,0.2,0.792542,1,1
"dambasecosts","0.006203528529013135","DSignal Liab 1 Dam 1",0.1966,1,1,0,64657.1,1029660,900343,0,,1,0.19656,0.794668,0.198209,0.00712251,0,0,1,1
"dambasecosts","0.006203528529013135","DSignal Liab 1 Dam 2",0.2027,1,1,0,78852.6,1043850,886147,0,,1,0.20272,0.210339,0.580505,0.202841,0.00631413,0,1,1
"dambasecosts","0.006203528529013135","DSignal Liab 1 Dam 3",0.1968,1,1,0,100356,1065360,864644,0,,1,0.19684,0.00731559,0.200772,0.590937,0.195286,0.0056899,1,1
"dambasecosts","0.006203528529013135","DSignal Liab 1 Dam 4",0.2012,1,1,0,120814,1085810,844186,0,,1,0.20116,0,0.00517001,0.209982,0.570093,0.214754,1,1
"dambasecosts","0.006203528529013135","DSignal Liab 1 Dam 5",0.2027,1,1,0,136143,1101140,828857,0,,1,0.20272,0,0,0.00434096,0.199882,0.795777,1,1
"dambasecosts","0.006203528529013135","LiabStr 1",0,,,,,,,,,,0,,,,,,,
"dambasecosts","0.006203528529013135","LiabStr 1 DamStr 1",0,,,,,,,,,,0,,,,,,,
"dambasecosts","0.006203528529013135","LiabStr 1 DamStr 2",0,,,,,,,,,,0,,,,,,,
"dambasecosts","0.006203528529013135","LiabStr 1 DamStr 3",0,,,,,,,,,,0,,,,,,,
"dambasecosts","0.006203528529013135","LiabStr 1 DamStr 4",0,,,,,,,,,,0,,,,,,,
"dambasecosts","0.006203528529013135","LiabStr 1 DamStr 5",0,,,,,,,,,,0,,,,,,,
"dambasecosts","0.006203528529013135","LiabStr 2",1,1,1,0,100350,1065350,864650,0,,1,1,0.20028,0.1972,0.20196,0.19492,0.20564,1,1
"dambasecosts","0.006203528529013135","LiabStr 2 DamStr 1",0.2003,1,1,0,61009.6,1026010,903990,0,,1,0.20028,1,0,0,0,0,1,1
"dambasecosts","0.006203528529013135","LiabStr 2 DamStr 2",0.1972,1,1,0,78083.2,1043080,886917,0,,1,0.1972,0,1,0,0,0,1,1
"dambasecosts","0.006203528529013135","LiabStr 2 DamStr 3",0.202,1,1,0,100015,1065010,864985,0,,1,0.20196,0,0,1,0,0,1,1
"dambasecosts","0.006203528529013135","LiabStr 2 DamStr 4",0.1949,1,1,0,122225,1087220,842775,0,,1,0.19492,0,0,0,1,0,1,1
"dambasecosts","0.006203528529013135","LiabStr 2 DamStr 5",0.2056,1,1,0,139613,1104610,825387,0,,1,0.20564,0,0,0,0,1,1,1
"damhighcosts","0.010413403254322422","All",1,1,1,0,99866,994866,795134,0,,1,1,0.20172,0.20256,0.19508,0.20092,0.19972,1,1
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 1",0.2023,1,1,0,64539.3,959539,830461,0,,1,0.20228,0.788214,0.202492,0.00929405,0,0,1,1
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 2",0.1996,1,1,0,78706.7,973707,816293,0,,1,0.19964,0.205169,0.59447,0.194149,0.00621118,0,1,1
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 3",0.1978,1,1,0,100202,995202,794798,0,,1,0.19784,0.00646987,0.20926,0.568945,0.208249,0.00707643,1,1
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 4",0.2034,1,1,0,120472,1015470,774528,0,,1,0.2034,0.000196657,0.00747296,0.199213,0.596067,0.19705,1,1
"damhighcosts","0.010413403254322422","PSignal Liab 1 Dam 5",0.1968,1,1,0,135999,1031000,759001,0,,1,0.19684,0,0,0.00690916,0.189189,0.803902,1,1
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 1",0.2021,1,1,0,64080.7,959081,830919,0,,1,0.20212,0.79438,0.198892,0.00653077,0.000197902,0,1,1
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 2",0.1994,1,1,0,79407.3,974407,815593,0,,1,0.19944,0.200361,0.592659,0.200762,0.00621741,0,1,1
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 3",0.1996,1,1,0,99759.5,994760,795240,0,,1,0.1996,0.00601202,0.214429,0.566132,0.204409,0.00901804,1,1
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 4",0.1995,1,1,0,120975,1015970,774025,0,,1,0.19948,0,0.00681773,0.19631,0.59234,0.204532,1,1
"damhighcosts","0.010413403254322422","DSignal Liab 1 Dam 5",0.1994,1,1,0,135599,1030600,759401,0,,1,0.19936,0,0,0.00782504,0.204053,0.788122,1,1
"damhighcosts","0.010413403254322422","LiabStr 1",0,,,,,,,,,,0,,,,,,,
"damhighcosts","0.010413403254322422","LiabStr 1 DamStr 1",0,,,,,,,,,,0,,,,,,,
"damhighcosts","0.010413403254322422","LiabStr 1 DamStr 2",0,,,,,,,,,,0,,,,,,,
"damhighcosts","0.010413403254322422","LiabStr 1 DamStr 3",0,,,,,,,,,,0,,,,,,,
"damhighcosts","0.010413403254322422","LiabStr 1 DamStr 4",0,,,,,,,,,,0,,,,,,,
"damhighcosts","0.010413403254322422","LiabStr 1 DamStr 5",0,,,,,,,,,,0,,,,,,,
"damhighcosts","0.010413403254322422","LiabStr 2",1,1,1,0,99866,994866,795134,0,,1,1,0.20172,0.20256,0.19508,0.20092,0.19972,1,1
"damhighcosts","0.010413403254322422","LiabStr 2 DamStr 1",0.2017,1,1,0,60321.2,955321,834679,0,,1,0.20172,1,0,0,0,0,1,1
"damhighcosts","0.010413403254322422","LiabStr 2 DamStr 2",0.2026,1,1,0,78283,973283,816717,0,,1,0.20256,0,1,0,0,0,1,1
"damhighcosts","0.010413403254322422","LiabStr 2 DamStr 3",0.1951,1,1,0,100021,995021,794979,0,,1,0.19508,0,0,1,0,0,1,1
"damhighcosts","0.010413403254322422","LiabStr 2 DamStr 4",0.2009,1,1,0,121670,1016670,773330,0,,1,0.20092,0,0,0,1,0,1,1
"damhighcosts","0.010413403254322422","LiabStr 2 DamStr 5",0.1997,1,1,0,139610,1034610,755390,0,,1,0.19972,0,0,0,0,1,1,1
