"OptionSet","Exploit","Filter","All","Trial","PWinsAtTrial","DWinsAtTrial","TrialDamages","PWelfare","DWelfare","LiabStr 1","LiabStrPct 1","LiabStr 2","LiabStrPct 2","LiabStr 3","LiabStrPct 3","LiabStr 4","LiabStrPct 4","LiabStr 5","LiabStrPct 5","DamStr 1","DamStr 2","DamStr 3","DamStr 4","DamStr 5","PLiabilitySignal 1","PLiabilitySignal 2","PLiabilitySignal 3","PLiabilitySignal 4","PLiabilitySignal 5","DLiabilitySignal 1","DLiabilitySignal 2","DLiabilitySignal 3","DLiabilitySignal 4","DLiabilitySignal 5"
"bothlowcosts","0.00027113918896466433","All",1,1,0.49852,0.50148,49388,1032720,933945,0.19608,1,0.1628,1,0.27924,1,0.15856,1,0.20332,1,0.20032,0.19724,0.20048,0.20196,0.2,0.18952,0.19372,0.22976,0.193,0.194,0.19052,0.19436,0.22928,0.19144,0.1944
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 1",0.0358,1,0.0345982,0.965402,2232.14,985565,981101,0.827009,0.151163,0.165179,0.0363636,0.0078125,0.00100272,0,0,0,0,0.795759,0.198661,0.00446429,0.00111607,0,1,0,0,0,0,0.695313,0.25558,0.0446429,0.00446429,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 2",0.0371,1,0.0334412,0.966559,2696.87,986030,980636,0.79288,0.149939,0.201726,0.0459459,0.00539374,0.00071623,0,0,0,0,0.206041,0.579288,0.209277,0.00539374,0,1,0,0,0,0,0.682848,0.271845,0.0420712,0.00323625,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 3",0.0376,1,0.0393617,0.960638,4015.96,987349,979317,0.807447,0.154835,0.185106,0.0427518,0.00744681,0.00100272,0,0,0,0,0.00106383,0.146809,0.644681,0.203191,0.00425532,1,0,0,0,0,0.682979,0.267021,0.0457447,0.00425532,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 4",0.0398,1,0.0351406,0.964859,4518.07,987851,978815,0.812249,0.165035,0.177711,0.0434889,0.0100402,0.00143246,0,0,0,0,0,0.00100402,0.233936,0.575301,0.189759,1,0,0,0,0,0.688755,0.259036,0.0461847,0.0060241,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 1 Dam 5",0.0392,1,0.0296221,0.970378,4085.8,987419,979248,0.838611,0.167483,0.151175,0.0363636,0.0102145,0.00143246,0,0,0,0,0,0,0.00715015,0.191011,0.801839,1,0,0,0,0,0.71093,0.235955,0.0510725,0.0020429,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 1",0.0409,1,0.210166,0.789834,13538.6,996872,969795,0.212121,0.0442676,0.503421,0.126536,0.281525,0.0412548,0.00293255,0.000756811,0,0,0.801564,0.193548,0.00391007,0.000977517,0,0,1,0,0,0,0.26002,0.423265,0.246334,0.0694037,0.000977517
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 2",0.0422,1,0.219165,0.780835,17386.1,1000720,965947,0.22296,0.0479396,0.455408,0.117936,0.319734,0.0482739,0.00189753,0.000504541,0,0,0.175522,0.605313,0.213472,0.0056926,0,0,1,0,0,0,0.275142,0.366224,0.280835,0.0740038,0.00379507
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 3",0.0397,1,0.227593,0.772407,21148,1004480,962185,0.205438,0.0416157,0.480363,0.117199,0.311178,0.044263,0.00302115,0.000756811,0,0,0.0100705,0.263847,0.527694,0.195368,0.00302115,0,1,0,0,0,0.26284,0.380665,0.274924,0.0775428,0.0040282
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 4",0.036,1,0.190211,0.809789,22580.6,1005910,960753,0.20356,0.0373317,0.543938,0.120147,0.242492,0.0312276,0.00889878,0.00201816,0.00111235,0.000196734,0,0.0111235,0.190211,0.588432,0.210234,0,1,0,0,0,0.252503,0.42158,0.253615,0.0678532,0.00444939
"bothlowcosts","0.00027113918896466433","PSignal Liab 2 Dam 5",0.035,1,0.212815,0.787185,28575.5,1011910,954758,0.189931,0.0338637,0.514874,0.110565,0.289474,0.0362412,0.00572082,0.00126135,0,0,0,0.00114416,0.00686499,0.201373,0.790618,0,1,0,0,0,0.234554,0.415332,0.258581,0.0915332,0
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 1",0.0444,1,0.507207,0.492793,31959.5,1015290,951374,0.0045045,0.00101999,0.154054,0.0420147,0.700901,0.111445,0.138739,0.0388496,0.0018018,0.000393468,0.800901,0.19009,0.00900901,0,0,0,0,1,0,0,0.0369369,0.227928,0.472072,0.22973,0.0333333
"bothlowcosts","0.00027113918896466433","PSignal Liab 3 Dam 2",0.0498,1,0.488764,0.511236,37760.8,1021090,945572,0.00722311,0.00183599,0.126806,0.0388206,0.729535,0.130211,0.129213,0.0406155,0.00722311,0.00177061,0.200642,0.592295,0.200642,0.00642055,0,0,0,1,0,0,0.029695,0.232745,0.46549,0.241573,0.0304976
